Date,Close,High,Low,Open,Volume,Ticker
2025-12-12,1001.5,1004.7000122070312,998.2000122070312,1003.0,11988618,HDFCBANK.NS
2025-12-15,996.0999755859375,1001.7999877929688,992.0,992.0,9790060,HDFCBANK.NS
2025-12-16,994.2999877929688,998.7000122070312,990.0999755859375,990.0999755859375,20049088,HDFCBANK.NS
2025-12-17,984.0,996.0,980.7999877929688,996.0,19080922,HDFCBANK.NS
2025-12-18,979.7000122070312,987.4000244140625,973.2999877929688,973.2999877929688,14912404,HDFCBANK.NS
2025-12-19,985.5,988.0,978.7000122070312,987.0,25952384,HDFCBANK.NS
2025-12-22,987.7000122070312,992.9000244140625,983.9000244140625,988.0,13540411,HDFCBANK.NS
2025-12-23,996.5999755859375,998.9000244140625,987.7000122070312,990.5,17927849,HDFCBANK.NS
2025-12-24,997.2000122070312,999.4000244140625,993.0,993.0,13699996,HDFCBANK.NS
2025-12-26,992.0999755859375,997.2000122070312,987.7000122070312,996.0,9360853,HDFCBANK.NS
2025-12-29,991.7000122070312,997.4000244140625,987.2000122070312,993.0999755859375,13545749,HDFCBANK.NS
2025-12-30,990.9000244140625,995.0,982.2000122070312,990.2000122070312,33155849,HDFCBANK.NS
2025-12-31,991.2000122070312,997.5999755859375,987.5999755859375,991.0,10963454,HDFCBANK.NS
2026-01-01,991.1500244140625,997.5499877929688,989.5,993.5,7132074,HDFCBANK.NS
2026-01-02,1001.5999755859375,1003.2000122070312,988.7999877929688,991.1500244140625,11751459,HDFCBANK.NS
2026-01-05,977.5,1006.4000244140625,976.2999877929688,1005.75,27647379,HDFCBANK.NS
2026-01-06,962.2000122070312,966.7000122070312,956.0,962.7000122070312,31988783,HDFCBANK.NS
2026-01-07,949.0499877929688,956.4500122070312,946.0,956.0,52884712,HDFCBANK.NS
2026-01-08,946.7000122070312,953.0,941.4000244140625,944.7000122070312,21928849,HDFCBANK.NS
2026-01-09,939.0,950.5999755859375,933.2999877929688,945.0,38183839,HDFCBANK.NS
2026-01-12,936.9500122070312,942.0,929.5999755859375,937.5,21071666,HDFCBANK.NS
2026-01-13,937.3499755859375,947.7000122070312,932.5999755859375,947.7000122070312,32042827,HDFCBANK.NS
2026-01-14,925.4500122070312,940.0499877929688,920.2000122070312,930.0,36688248,HDFCBANK.NS
2026-01-15,925.4500122070312,925.4500122070312,925.4500122070312,925.4500122070312,0,HDFCBANK.NS
2026-01-16,931.0999755859375,935.9500122070312,919.2000122070312,922.0,37780235,HDFCBANK.NS
2026-01-19,927.9000244140625,936.1500244140625,919.5,935.9000244140625,38191942,HDFCBANK.NS
2026-01-20,931.2000122070312,934.5,919.5999755859375,929.2999877929688,36022727,HDFCBANK.NS
2026-01-21,920.3499755859375,932.1500244140625,915.5,925.0,32766854,HDFCBANK.NS
2026-01-22,918.7000122070312,928.2999877929688,913.2000122070312,928.0,44444755,HDFCBANK.NS
2026-01-23,916.0999755859375,926.0999755859375,909.25,920.0,30985247,HDFCBANK.NS
2026-01-27,926.4000244140625,931.2000122070312,905.0,906.0,44753093,HDFCBANK.NS
2026-01-28,932.7000122070312,941.4500122070312,928.4000244140625,932.5,35347138,HDFCBANK.NS
2026-01-29,935.5,939.2999877929688,924.3499755859375,930.0999755859375,37175628,HDFCBANK.NS
2026-01-30,929.25,938.9000244140625,927.75,930.0,29691233,HDFCBANK.NS
2026-02-02,928.0999755859375,929.7999877929688,909.2999877929688,915.0,28032106,HDFCBANK.NS
2026-02-03,948.7000122070312,994.0,945.0,983.75,50336968,HDFCBANK.NS
2026-02-04,953.0999755859375,957.2000122070312,947.9500122070312,952.5,24366770,HDFCBANK.NS
2026-02-05,949.7000122070312,956.0499877929688,946.7000122070312,956.0,28103169,HDFCBANK.NS
2026-02-06,941.0999755859375,948.0999755859375,937.5999755859375,945.0,18120272,HDFCBANK.NS
2026-02-09,937.25,950.0,935.3499755859375,945.0,23947829,HDFCBANK.NS
2026-02-10,932.4000244140625,940.9000244140625,929.9500122070312,930.0,31525385,HDFCBANK.NS
2026-02-11,927.0999755859375,936.0,925.2999877929688,931.25,24869804,HDFCBANK.NS
2026-02-12,920.5999755859375,928.5999755859375,918.5,927.0,33872203,HDFCBANK.NS
2026-02-13,903.9000244140625,928.2000122070312,901.0,913.0,50188359,HDFCBANK.NS
2026-02-16,925.7999877929688,929.5,902.0999755859375,903.9000244140625,18806989,HDFCBANK.NS
2026-02-17,925.7000122070312,928.0999755859375,918.5999755859375,923.0,22599629,HDFCBANK.NS
2026-02-18,924.7000122070312,925.5,919.5499877929688,923.2000122070312,12738702,HDFCBANK.NS
2026-02-19,915.5999755859375,929.2000122070312,912.4500122070312,929.0,21209234,HDFCBANK.NS
2026-02-20,911.8499755859375,917.8499755859375,908.4000244140625,911.0,22654907,HDFCBANK.NS
2026-02-23,923.5999755859375,925.6500244140625,915.25,916.5,23270122,HDFCBANK.NS
2026-02-24,910.5,927.9500122070312,909.1500244140625,927.9500122070312,31313985,HDFCBANK.NS
2026-02-25,907.5999755859375,916.0,903.0999755859375,910.5499877929688,27884303,HDFCBANK.NS
2026-02-26,898.5999755859375,912.0,895.0,912.0,41165937,HDFCBANK.NS
2026-02-27,887.75,898.9500122070312,885.0,898.5999755859375,34620755,HDFCBANK.NS
2026-03-02,879.4000244140625,887.75,871.5499877929688,876.2000122070312,38378924,HDFCBANK.NS
2026-03-04,868.6500244140625,879.2999877929688,848.0,848.0,39862322,HDFCBANK.NS
2026-03-05,877.75,881.4000244140625,863.5,873.8499755859375,31324582,HDFCBANK.NS
2026-03-06,857.0499877929688,871.7000122070312,855.0999755859375,868.0499877929688,34439647,HDFCBANK.NS
2026-03-09,840.7000122070312,842.4500122070312,821.5,825.0,35592613,HDFCBANK.NS
2026-03-10,849.4500122070312,856.7999877929688,840.5999755859375,850.0499877929688,52866024,HDFCBANK.NS
2026-03-11,833.9500122070312,848.8499755859375,827.5999755859375,845.0,42261076,HDFCBANK.NS
2026-03-12,832.75,836.4000244140625,820.0999755859375,820.0999755859375,46107561,HDFCBANK.NS
2026-03-13,817.0,823.7999877929688,812.0,820.0,41700464,HDFCBANK.NS
2026-03-16,840.5999755859375,844.5,815.6500244140625,817.0,52182605,HDFCBANK.NS
2026-03-17,845.3499755859375,848.9000244140625,835.0999755859375,847.7000122070312,38826979,HDFCBANK.NS
