Date,Close,High,Low,Open,Volume,Ticker
2025-12-12,3120.6865234375,3123.1090405337873,3086.9650381423917,3098.5931202045713,1146554,TCS.NS
2025-12-15,3130.0859375,3137.8379924435076,3098.2057061744017,3111.578048266741,1562190,TCS.NS
2025-12-16,3105.763916015625,3120.202023295087,3092.197820262168,3120.202023295087,1734623,TCS.NS
2025-12-17,3118.0703125,3136.5782015286727,3101.306446555184,3101.306446555184,1376350,TCS.NS
2025-12-18,3179.117919921875,3185.9009682967376,3121.171259347543,3127.9543077224057,2307422,TCS.NS
2025-12-19,3180.280517578125,3215.067769256,3177.179742937931,3196.753634213965,3902511,TCS.NS
2025-12-22,3221.850830078125,3225.436344736965,3189.0015919916527,3207.4127224224762,2632816,TCS.NS
2025-12-23,3207.41259765625,3217.005670614833,3191.423985009323,3217.005670614833,2365420,TCS.NS
2025-12-24,3216.1337890625,3223.98283930865,3193.943626455098,3201.695681385047,1367708,TCS.NS
2025-12-26,3178.342529296875,3217.102804044398,3170.3967202884214,3210.4167512800273,1176664,TCS.NS
2025-12-29,3150.7255859375,3186.094333865139,3142.392032892103,3178.342279524835,2079473,TCS.NS
2025-12-30,3146.17138671875,3166.229780553915,3139.097589626445,3149.2721612242462,2807593,TCS.NS
2025-12-31,3106.82958984375,3145.3961082329884,3099.3682847144837,3139.582067367493,3362634,TCS.NS
2026-01-01,3127.37255859375,3133.865093634826,3099.0776063813255,3115.35696849259,1255735,TCS.NS
2026-01-02,3149.950439453125,3153.4389586535176,3119.717473820805,3133.7680727866077,1184324,TCS.NS
2026-01-05,3116.4228515625,3146.3650669323792,3092.1006863508537,3140.066522757738,2341703,TCS.NS
2026-01-06,3154.892578125,3162.063134250383,3105.666982384277,3110.512016678168,2912325,TCS.NS
2026-01-07,3193.458984375,3198.3040184958663,3123.3027483604965,3142.3921354819236,1989442,TCS.NS
2026-01-08,3104.600830078125,3185.028395467413,3083.3796755266676,3185.028395467413,4159336,TCS.NS
2026-01-09,3108.380126953125,3129.6012816982266,3092.1007650495476,3092.1007650495476,1938673,TCS.NS
2026-01-12,3139.19482421875,3151.2104150586442,3075.9186268106855,3103.7290773163704,2228342,TCS.NS
2026-01-13,3166.71435546875,3178.3424375573745,3110.9964621274244,3144.42719813222,5645341,TCS.NS
2026-01-14,3093.554443359375,3158.9624073145064,3084.348878061986,3158.9624073145064,3539511,TCS.NS
2026-01-15,3093.554443359375,3093.554443359375,3093.554443359375,3093.554443359375,0,TCS.NS
2026-01-16,3163.8017578125,3178.7983689605644,3128.579389024886,3176.3318131508636,4293470,TCS.NS
2026-01-19,3121.278564453125,3176.9239686725823,3109.9324074221513,3145.3520534559602,3387562,TCS.NS
2026-01-20,3060.798583984375,3117.7266457653604,3049.7484617692403,3109.4391143226594,4499273,TCS.NS
2026-01-21,3080.826904296875,3096.5141025881594,3040.769942385441,3058.5291438659533,2015150,TCS.NS
2026-01-22,3108.2548828125,3117.7265535020897,3080.5309399469356,3107.8603302315137,2269827,TCS.NS
2026-01-23,3120.193115234375,3151.7650297600667,3109.8335807806325,3147.621264153488,2068857,TCS.NS
2026-01-27,3115.75341796875,3132.5259981161435,3088.127991843631,3132.5259981161435,4279874,TCS.NS
2026-01-28,3157.290283203125,3162.3219126707263,3128.184923835551,3133.5125881835056,2751234,TCS.NS
2026-01-29,3102.335205078125,3157.2902623909354,3083.786897692938,3157.2902623909354,2457641,TCS.NS
2026-01-30,3082.109375,3098.980713054142,3050.636219281569,3098.980713054142,3022068,TCS.NS
2026-02-02,3127.1982421875,3155.218220087344,3092.074390792288,3155.218220087344,2636272,TCS.NS
2026-02-03,3182.153076171875,3305.1848335937134,3143.674804974814,3305.1848335937134,4366060,TCS.NS
2026-02-04,2958.979248046875,3078.2617963038065,2946.0543986420407,3078.2617963038065,10852595,TCS.NS
2026-02-05,2951.480712890625,2989.1696378838233,2932.5376122480607,2950.000779389259,3521545,TCS.NS
2026-02-06,2902.248291015625,2945.0676030314735,2876.990663463912,2936.7800719556926,4687389,TCS.NS
2026-02-09,2908.760009765625,2937.174782066686,2898.2031986297916,2919.5143380742375,2380318,TCS.NS
2026-02-10,2944.673095703125,2971.3118985519286,2904.1228216834434,2910.3385905230825,3547763,TCS.NS
2026-02-11,2870.873779296875,2957.893822910036,2865.348597754142,2940.134620504305,3363513,TCS.NS
2026-02-12,2713.31005859375,2841.472197833708,2703.3450771056805,2831.4086986412967,10612156,TCS.NS
2026-02-13,2656.1845703125,2676.706362809734,2550.4187054416375,2550.4187054416375,11168735,TCS.NS
2026-02-16,2670.39208984375,2683.4154564010123,2635.2682386101537,2663.880286127823,2918730,TCS.NS
2026-02-17,2681.04736328125,2723.0775699498763,2659.144396219614,2679.666188399951,4209118,TCS.NS
2026-02-18,2658.848388671875,2693.478928386682,2621.751534036431,2693.478928386682,2950820,TCS.NS
2026-02-19,2642.075927734375,2711.9288391622777,2630.9272877397234,2671.7733571903564,3238849,TCS.NS
2026-02-20,2650.264892578125,2666.4456435463158,2612.0826560359187,2631.3217917460984,2293482,TCS.NS
2026-02-23,2640.497314453125,2667.8267040377664,2624.612599044486,2650.0675026055624,4699596,TCS.NS
2026-02-24,2539.269775390625,2612.0825495938816,2527.035755172012,2605.669504618486,7798833,TCS.NS
2026-02-25,2594.126220703125,2618.6930211303556,2560.2850255621997,2561.2716479227247,3621285,TCS.NS
2026-02-26,2612.27978515625,2635.26813265383,2599.749730266882,2614.549064594777,3464267,TCS.NS
2026-02-27,2602.11767578125,2652.6329325338243,2590.969035984877,2645.726576120342,5083717,TCS.NS
2026-03-02,2578.537353515625,2588.6996112720262,2545.7815416803182,2557.324974292137,3374385,TCS.NS
2026-03-04,2553.181396484375,2599.7499237945026,2545.880246481027,2589.8837001747893,3446434,TCS.NS
2026-03-05,2544.3017578125,2574.5910157046947,2512.335049229941,2565.2181034037962,2960636,TCS.NS
2026-03-06,2523.385498046875,2584.161292192951,2519.4390085227947,2537.5927639837228,3998643,TCS.NS
2026-03-09,2493.589111328125,2525.7530947438377,2471.4888680989507,2496.1544256648085,3653428,TCS.NS
2026-03-10,2479.480712890625,2511.1511456572443,2456.7883989435327,2507.007379980955,4323710,TCS.NS
2026-03-11,2431.92529296875,2487.2749022159755,2427.1896984686477,2474.547570466413,2720664,TCS.NS
2026-03-12,2409.726318359375,2439.818299872899,2403.412031703097,2426.8936916820116,2752075,TCS.NS
2026-03-13,2378.253173828125,2413.179508655849,2364.9337721078678,2404.398666093815,2466488,TCS.NS
2026-03-16,2376.970458984375,2392.5591399058967,2334.4471812699776,2377.759805019881,3807907,TCS.NS
2026-03-17,2359.70458984375,2387.6260500920594,2328.428710007132,2387.6260500920594,2993367,TCS.NS
2026-03-18,2408.14794921875,2449.684606821956,2377.759931791064,2377.759931791064,3082388,TCS.NS
2026-03-19,2324.482177734375,2391.5724952581177,2318.7597201236085,2384.6661390424383,2757060,TCS.NS
2026-03-20,2358.619384765625,2375.5892402804725,2332.5724113216993,2354.0808258010857,4206320,TCS.NS
2026-03-23,2351.910400390625,2374.602714385491,2316.589272171523,2333.3618520807718,3860515,TCS.NS
2026-03-24,2366.709716796875,2402.819949907421,2347.2733048784753,2371.9388633725343,3420182,TCS.NS
2026-03-25,2345.595947265625,2389.204849113034,2338.097761710688,2368.781573169959,5843778,TCS.NS
2026-03-27,2357.830078125,2389.69802736586,2353.0942427947716,2371.7413083689694,4979411,TCS.NS
2026-03-30,2327.34326171875,2365.9202902405636,2314.8132066050703,2343.3267357786763,6804756,TCS.NS
2026-04-01,2375.98388671875,2438.9304406017563,2365.8216283746565,2396.5056797013217,4132661,TCS.NS
2026-04-02,2417.915283203125,2436.858383664294,2343.91860884341,2354.080866963729,5378361,TCS.NS
2026-04-06,2440.804931640625,2448.7966690134326,2415.4487854587173,2440.903690225315,2572417,TCS.NS
2026-04-07,2505.823486328125,2509.868493428073,2415.251506653692,2428.0775971710527,4516550,TCS.NS
2026-04-08,2524.9638671875,2545.781695099603,2506.119524847839,2537.592681428627,4769337,TCS.NS
2026-04-09,2554.365234375,2570.1511917909907,2497.2398973257214,2519.8334525275204,5628261,TCS.NS
2026-04-10,2490.53076171875,2531.4755878535475,2467.641172150841,2531.4755878535475,10480239,TCS.NS
2026-04-13,2439.5224609375,2471.390169384871,2436.9571465386753,2456.5908344868626,3739587,TCS.NS
2026-04-15,2520.72119140625,2524.7664391435346,2460.0439205944767,2468.430210056267,5261384,TCS.NS
2026-04-16,2542.427001953125,2559.298340252972,2523.779936147688,2537.5926488552986,3905403,TCS.NS
2026-04-17,2546.965576171875,2554.365243737743,2521.707947863873,2535.6194192375438,2718206,TCS.NS
2026-04-20,2545.091064453125,2559.2983296867455,2526.937069016173,2552.490731944509,2288558,TCS.NS
2026-04-21,2575.57763671875,2579.0308149330826,2525.7532081976633,2525.7532081976633,2719959,TCS.NS
2026-04-22,2504.540771484375,2545.485597963241,2470.107748698972,2545.485597963241,5232045,TCS.NS
2026-04-23,2488.064208984375,2525.2598221872495,2482.637786236952,2495.167841496993,2509050,TCS.NS
2026-04-24,2364.8349609375,2471.4889309127534,2356.8434646078067,2454.7163513416886,5107719,TCS.NS
2026-04-27,2414.85693359375,2426.1043319099444,2364.8349883004043,2364.8349883004043,5853425,TCS.NS
